FQDN;NNI1;NNI2;NNI3;NNI4
core1-blanch.nn.hea.net;core1-pw.nn.hea.net;core2-blanch.nn.hea.net;empty;empty
core1-cork1.nn.hea.net;core1-lim2.nn.hea.net;core1-cork2.nn.hea.net;empty;empty
core1-cork2.nn.hea.net;core2-cwt.nn.hea.net;core1-cork1.nn.hea.net;empty;empty
core1-cwt.nn.hea.net;core1-pw.nn.hea.net;core2-cwt.nn.hea.net;core1-ucd.nn.hea.net;empty
core1-dcu.nn.hea.net;core1-blanch.nn.hea.net;core2-dcu.nn.hea.net;empty;empty
core1-gal1.nn.hea.net;core2-pw.nn.hea.net;core1-gal2.nn.hea.net;empty;empty
core1-gal2.nn.hea.net;core1-lim1.nn.hea.net;core1-gal1.nn.hea.net;empty;empty
core1-lim1.nn.hea.net;core1-gal1.nn.hea.net;core1-lim2.nn.hea.net;core2-cwt.nn.hea.net;empty
core1-lim2.nn.hea.net;core1-cork1.nn.hea.net;core1-lim1.nn.hea.net;empty;empty
core1-pw.nn.hea.net;core1-blanch, core2-tcd.nn.hea.net;core1-cwt, core2-pw.nn.hea.net;empty;empty
core1-tcd.nn.hea.net;core2-ucd.nn.hea.net;core2-tcd.nn.hea.net;empty;empty
core1-ucd.nn.hea.net;core1-cwt.nn.hea.net;core2-ucd.nn.hea.net;empty;empty
core2-blanch.nn.hea.net;core1-dcu.nn.hea.net;core1-blanch.nn.hea.net;empty;empty
core2-cwt.nn.hea.net;core1-cwt.nn.hea.net;core1-cork2.nn.hea.net;core2-pw.nn.hea.net;core1-lim1.nn.hea.net
core2-dcu.nn.hea.net;core2-tcd.nn.hea.net;core1-dcu.nn.hea.net;empty;empty
core2-pw.nn.hea.net;core1-gal1.nn.hea.net;core2-cwt, core1-pw.nn.hea.net;empty;empty
core2-tcd.nn.hea.net;core2-dcu.nn.hea.net;core1-tcd.nn.hea.net;core1-pw.nn.hea.net;empty
core2-ucd.nn.hea.net;core1-tcd.nn.hea.net;core1-ucd.nn.hea.net;empty;empty
dist1-ait.nn.hea.net;core1-gal1.nn.hea.net;dist2-ait.nn.hea.net;empty;empty
dist1-cit.nn.hea.net;core1-cork1.nn.hea.net;dist2-cork.nn.hea.net;empty;empty
dist1-dias-merrion.nn.hea.net;empty;empty;empty;empty
dist1-dit-aungier.nn.hea.net;core1-tcd.nn.hea.net;dist2-dit.nn.hea.net;empty;empty
dist1-dit-grangegorman.nn.hea.net;empty;empty;empty;empty
dist1-dun.nn.hea.net;core1-pw.nn.hea.net;dist2-dun.nn.hea.net;empty;empty
dist1-gd5.nn.hea.net;core1-tcd.nn.hea.net;dist2-gd5.nn.hea.net;empty;empty
dist1-gmit.nn.hea.net;core1-gal1.nn.hea.net;dist2-gmit.nn.hea.net;empty;empty
dist1-iadt.nn.hea.net;empty;empty;empty;empty
dist1-itb.nn.hea.net;core2-dcu.nn.hea.net;dist2-itb.nn.hea.net;empty;empty
dist1-itc.nn.hea.net;empty;empty;empty;empty
dist1-its.nn.hea.net;core1-gal1.nn.hea.net;dist2-its.nn.hea.net;empty;empty
dist1-itt.nn.hea.net;dist1-cit.nn.hea.net;dist2-itt.nn.hea.net;empty;empty
dist1-ittd.nn.hea.net;empty;empty;empty;empty
