FQDN;NNI1;NNI2;NNI3;NNI4
core1-blanch;core1-pw;core2-blanch;empty;empty
core1-cork1;core1-lim2;core1-cork2;empty;empty
core1-cork2;core2-cwt;core1-cork1;empty;empty
core1-cwt;core1-pw;core2-cwt;core1-ucd;empty
core1-dcu;core1-blanch;core2-dcu;empty;empty
core1-gal1;core2-pw;core1-gal2;empty;empty
core1-gal2;core1-lim1;core1-gal1;empty;empty
core1-lim1;core1-gal1;core1-lim2;core2-cwt;empty
core1-lim2;core1-cork1;core1-lim1;empty;empty
core1-pw;core1-blanch;core2-tcd;core1-cwt;core2-pw;
core1-tcd;core2-ucd;core2-tcd;empty;empty
core1-ucd;core1-cwt;core2-ucd;empty;empty
core2-blanch;core1-dcu;core1-blanch;empty;empty
core2-cwt;core1-cwt;core1-cork2;core2-pw;core1-lim1
core2-dcu;core2-tcd;core1-dcu;empty;empty
core2-pw;core1-gal1;core2-cwt;core1-pw;empty
core2-tcd;core2-dcu;core1-tcd;core1-pw;empty
core2-ucd;core1-tcd;core1-ucd;empty;empty
dist1-ait;core1-gal1;dist2-ait;empty;empty
dist1-cit;core1-cork1;dist2-cit;empty;empty
dist1-dias-merrion;empty;empty;empty;empty
dist1-dit-aungier;core1-tcd;dist2-dit-aungier;empty;empty
dist1-dit-grangegorman;empty;empty;empty;empty
dist1-dun;core1-pw;dist2-dun;empty;empty
dist1-gd5;core1-tcd;dist2-gd5;empty;empty
dist1-gmit;core1-gal1;dist2-gmit;empty;empty
dist1-iadt;empty;empty;empty;empty
dist1-itb;core2-dcu;dist2-itb;empty;empty
dist1-itc;empty;empty;empty;empty
dist1-its;core1-gal1;dist2-its;empty;empty
dist1-itt;dist1-cit;dist2-itt;empty;empty
dist1-ittd;empty;empty;empty;empty
dist1-lit;core1-lim2;dist1-lit;empty;empty
dist1-lyit;dist2-its;dist2-lyit;empty;empty
dist1-mu;core1-pw;dist2-mu;empty;empty
dist1-ncad;empty;empty;empty;empty
dist1-nci;empty;empty;empty;empty
dist1-rcsi;core2-tcd;dist2-rcsi;empty;empty
dist1-wat1;core2-cwt;dist1-wat2;empty;empty
dist1-wat2;core1-cork2;dist1-wat1;empty;empty
dist1-wit-car1;dist1-wat1;dist1-wit-car2;empty;empty
dist1-wit-car2;dist1-wat2;dist1-wit-car1;empty;empty
dist2-ait;core2-pw;dist1-ait;empty;empty
dist2-cit;core1-cork2;dist1-cit;empty;empty
dist2-dias-merrion;empty;empty;empty;empty
dist2-dit-aungier;empty;dist1-dit-aungier;empty;empty
dist2-dit-grangegorman;empty;empty;empty;empty
dist2-dun;core1-gal1;dist1-dun;empty;empty
dist2-gd5;core2-tcd;dist1-gd5;empty;empty
dist2-gmit;core1-gal2;dist1-gmit;empty;empty
dist2-iadt;empty;empty;empty;empty
dist2-itb;core1-blanch;dist1-itb;empty;empty
dist2-itc;empty;empty;empty;empty
dist2-its;dist1-lyit;dist1-its;empty;empty
dist2-itt;core1-lim1;dist1-itt;empty;empty
dist2-ittd;empty;empty;empty;empty
dist2-lit;core1-lim1;dist2-lit;empty;empty
dist2-lyit;edge1-qub;dist1-lyit;empty;empty
dist2-mu;core1-cwt;dist1-mu;empty;empty
dist2-ncad;empty;empty;empty;empty
dist2-nci;empty;empty;empty;empty
dist2-rcsi;core1-pw;dist1-rcsi;empty;empty
edge1-bcfe;empty;empty;empty;empty
edge1-bcfe-arts;empty;empty;empty;empty
edge1-blanch;core1-blanch;empty;empty;empty
edge1-cao;edge1-gal1;edge2-cao;empty;empty
edge1-carlowc;empty;empty;empty;empty
edge1-cit-blackrock;dist1-cit;empty;empty;empty
edge1-cit-crawford;edge1-cork1;edge1-cork2;empty;empty
edge1-cit-csm;edge1-cork1;edge1-cork2;empty;empty
edge1-cit-nmci;edge1-cork1;empty;empty;empty
edge1-cix;core1-cork1;empty;empty;empty
edge1-coa;edge1-pw;empty;empty;empty
edge1-cork1;core1-cork1;empty;empty;empty
edge1-cork2;core1-cork2;empty;empty;empty
edge1-corketb;edge1-cork1;empty;empty;empty
edge1-cwt;core1-cwt;empty;empty;empty
edge1-dcu;core1-dcu;empty;empty;empty
edge1-dcu-allhallows;edge2-dcu;empty;empty;empty
edge1-dcu-glasnevin;edge1-dcu;edge2-dcu;empty;empty
edge1-dcu-spd1;edge1-dcu;edge1-dcu-spd2;empty;empty
edge1-dcu-tonyryan;edge1-cwt;empty;empty;empty
edge1-depot;edge1-tcd;empty;empty;empty
edge1-dfei;empty;empty;empty;empty
edge1-dias-bur;empty;empty;empty;empty
edge1-dias-fitz;empty;empty;empty;empty
edge1-dit-airport;edge1-pw;empty;empty;empty
edge1-dit-boltonst;empty;empty;empty;empty
edge1-dit-mountjoy;empty;empty;empty;empty
edge1-educampus-cwt;edge1-cwt;edge2-educampus-cwt;empty;empty
edge1-educampus-santry;edge1-blanch;empty;empty;empty
edge1-epa-clonskeagh;empty;empty;empty;empty
edge1-epa-wexford;empty;empty;empty;empty
edge1-esri;empty;empty;empty;empty
edge1-etbi;edge1-cwt;empty;empty;empty
edge1-gal1;core1-gal1;empty;empty;empty
edge1-gal2;core1-gal2;empty;empty;empty
edge1-gd5-testlab;empty;empty;empty;empty
